cnpj;razao_social;cod_scp;dt_ini;dt_fin;forma_trib;forma_apur;qualif_pj;sit_especial;cnae;cod_nat;horario_eleitoral_deducao_lalur;prouni_universidade_para_todos;sudam_sudene_isencao_proj_ind_agric;sudam_sudene_isencao_proj_tec_dig;sudam_sudene_red_escal_setor_prior_proj_ind_agric;finor;finam;pronac_deducao_ir;pat_deducao_ir;atividade_audiov_deducao_ir;fundos_direitos_crianca_adolescente;fundos_idoso;incentivo_desporto;pronon_deducao_ir;pronas_pcd_deducao_ir;empresa_cidada_deducao_ir;rota_2030_deducao_ir;prouni_deducao_csll;rota_2030_deducao_csll;f0000_ano
02.448.859/0001-93;ZAGAIA GESTAO DE HOTEIS E TURISMO LTDA;0;01/01/2024;31/12/2024;LUCRO REAL;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);5510801;2062;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;2024
27.263.424/0001-03;R2P EVENTOS LTDA.;0;01/01/2022;31/12/2022;LUCRO PRESUMIDO;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);8230001;2062;;;;;;;;;;;;;;;;;;;;2022
13.772.125/0001-81;RF REFLORESTADORA LTDA;0;01/01/2021;31/12/2021;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);1610201;2062;0;;;;;;;0;4349,1;0;0;0;0;0;0;0;0;0;0;2021
11.228.240/0001-64;LAMPARINA CULTURAL ASSESSORIA E PRODUCAO DE EVENTOS LTDA;0;01/01/2024;31/12/2024;LUCRO PRESUMIDO;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);8230001;2062;;;;;;;;;;;;;;;;;;;;2024
24.406.880/0001-69;CLX PRODUCOES LTDA;0;01/01/2024;31/12/2024;LUCRO PRESUMIDO;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);7990200;2062;;;;;;;;;;;;;;;;;;;;2024
86.915.691/0001-79;NOSSA SERVICO TEMPORARIO E GESTAO DE PESSOAS LTDA;0;01/01/2023;31/12/2023;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);7830200;2062;0;;;;;;;0;37437,17;0;0;0;0;0;0;0;0;0;0;2023
08.848.231/0001-61;ATUAL CARGAS TRANSPORTES LTDA;0;01/01/2020;31/12/2020;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);4930201;2062;0;;;;;;;0;50515,88;0;0;0;0;0;0;0;0;0;0;2020
10.567.693/0001-52;ADEL COCO BRASIL INDUSTRIA E COMERCIO LTDA;0;01/01/2015;31/12/2015;LUCRO REAL;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);1031700;2062;0;0;0;0;0;;;0;7317,22;0;0;0;0;0;0;0;;0;;2015
05.607.657/0012-98;SCANSOURCE BRASIL DISTRIBUIDORA DE TECNOLOGIAS LTDA;0;01/01/2024;31/12/2024;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);4665600;2062;0;;;;;;;0;0;0;35139,54;35139,54;0;0;0;0;0;0;0;2024
15.664.953/0001-21;REDE ANCORA - GO IMPORTADORA, EXPORTADORA E DISTRIBUIDORA DE AUTO PECAS S.A;0;01/01/2022;31/12/2022;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);4530701;2054;0;;;;;;;0;4098,79;0;0;0;0;0;0;0;0;0;0;2022
